fs_classroom,low_array,high_array,mu
1191.0,"[0, 1, 18]","[0, 3, 3]",0.3644366197183099
2211.0,"[0, 1, 10]","[2, 0, 8]",0.5224137931034483
3181.0,"[0, 1, 16]","[0, 3, 14]",0.5151515151515151
3991.0,"[5, 3, 28]","[1, 0, 19]",0.4739156268568034
4591.0,"[2, 1, 11]","[2, 2, 1]",0.37560386473429963
5381.0,"[0, 0, 9]","[0, 0, 8]",0.5294117647058824
5382.0,"[0, 0, 7]","[0, 1, 8]",0.526241134751773
5391.0,"[0, 5, 28]","[0, 0, 11]",0.3887566379783922
5401.0,"[0, 2, 13]","[1, 3, 30]",0.43407738095238096
5402.0,"[0, 2, 17]","[0, 1, 22]",0.5070394606385089
5403.0,"[2, 0, 10]","[0, 0, 23]",0.4554455445544555
5431.0,"[1, 1, 23]","[2, 2, 10]",0.4649122807017544
5432.0,"[0, 4, 5]","[0, 0, 2]",0.3448275862068966
5441.0,"[0, 2, 19]","[0, 1, 5]",0.356508875739645
5451.0,"[5, 9, 27]","[1, 2, 10]",0.37830867381566446
5452.0,"[0, 3, 31]","[0, 3, 11]",0.4181313598519889
5481.0,"[0, 0, 16]","[0, 0, 6]",0.41558441558441556
5482.0,"[0, 0, 1]","[0, 0, 0]",
5491.0,"[0, 0, 20]","[0, 0, 12]",0.4838709677419355
5492.0,"[1, 1, 18]","[0, 0, 14]",0.5013774104683196
5511.0,"[0, 1, 28]","[0, 0, 7]",0.3233644859813084
5551.0,"[0, 3, 12]","[0, 1, 4]",0.3947368421052632
5571.0,"[0, 3, 19]","[2, 2, 4]",0.3831417624521073
5581.0,"[1, 8, 27]","[0, 1, 4]",0.22187500000000002
5601.0,"[1, 2, 11]","[0, 0, 5]",0.4192872117400419
5611.0,"[0, 1, 11]","[0, 1, 9]",0.5193452380952381
5791.0,"[0, 1, 7]","[0, 0, 0]",
5821.0,"[1, 4, 23]","[2, 4, 19]",0.5074270557029178
5822.0,"[0, 0, 5]","[0, 0, 3]",0.5357142857142857
5841.0,"[2, 0, 27]","[4, 3, 22]",0.5087719298245614
5851.0,"[0, 1, 17]","[0, 1, 24]",0.4981252343457068
5881.0,"[1, 0, 16]","[0, 0, 9]",0.4736842105263159
5882.0,"[0, 0, 3]","[0, 0, 0]",
5891.0,"[1, 2, 26]","[0, 0, 8]",0.35306334371754927
